student_id,ssc_percentage,hsc_percentage,degree_percentage,cgpa,aptitude_test_score,technical_skill_score,soft_skills_rating,attendance_percentage,backlogs,internships,projects,certifications,work_experience_months,gender,placement_training,extracurricular_activities,placement_status,department
2010,76.8,70.6,70.8,7.15,69,56,3.8,84.5,0,0,0,4,4,Male,Yes,No,Placed,ECE
2011,66.2,77.4,69.1,7.01,49,71,4.1,70.7,1,1,1,0,4,Male,Yes,Yes,Placed,ECE
2012,69.4,45.0,65.8,7.16,64,64,1.6,72.8,0,1,2,0,14,Female,Yes,No,NotPlaced,CE
2013,78.1,76.1,77.2,8.69,89,76,4.0,97.4,0,3,0,0,19,Male,Yes,Yes,Placed,ME
2014,59.2,78.5,83.6,7.39,64,83,3.4,80.4,0,1,1,1,11,Female,No,Yes,Placed,CS
2015,65.1,61.3,68.8,6.81,56,74,4.7,93.1,0,2,2,1,9,Female,No,Yes,Placed,ECE
2016,61.4,65.9,62.8,6.57,60,51,4.1,84.6,1,0,0,0,3,Female,No,Yes,Placed,ECE
2017,84.1,73.5,69.4,7.88,82,62,3.3,68.3,0,2,0,2,11,Female,No,No,NotPlaced,ChemE
2018,66.3,77.2,74.6,7.96,93,75,4.4,95.1,0,3,3,4,21,Male,No,Yes,Placed,ChemE
2019,68.9,50.3,53.3,5.8,66,56,4.4,73.1,1,0,0,0,4,Male,No,Yes,NotPlaced,CE
2020,69.4,74.6,65.7,6.73,65,74,3.5,100.0,1,2,0,1,14,Male,Yes,Yes,Placed,ME
2021,68.2,64.6,53.8,6.75,57,38,3.6,60.6,1,0,0,1,1,Male,No,Yes,NotPlaced,EE
2022,59.4,58.1,53.9,7.7,84,58,4.2,84.3,0,0,3,1,0,Male,Yes,Yes,Placed,EE
2023,72.6,69.4,82.1,8.37,78,64,4.3,100.0,1,0,0,1,7,Female,Yes,No,Placed,EE
2024,71.9,63.9,71.3,7.34,62,65,3.1,84.3,0,1,1,1,4,Female,Yes,No,NotPlaced,ME
2025,84.9,68.9,64.6,7.52,70,58,4.1,89.1,0,0,2,0,0,Female,No,Yes,NotPlaced,ECE
2026,76.3,84.0,79.1,8.71,73,64,3.2,92.9,0,4,3,2,21,Male,Yes,Yes,Placed,EE
2027,79.2,70.3,71.1,7.86,58,51,4.1,85.4,1,0,2,0,0,Female,Yes,No,NotPlaced,ME
2028,59.9,51.9,51.1,5.44,48,50,2.4,76.5,0,0,1,0,2,Male,No,Yes,NotPlaced,CS
2029,75.3,65.5,68.9,6.72,57,58,4.0,76.3,2,0,0,0,0,Male,No,Yes,NotPlaced,CS
2030,71.2,79.9,75.6,8.1,64,58,2.6,82.6,0,1,0,1,9,Male,Yes,No,NotPlaced,ChemE
2031,86.5,70.3,68.8,6.42,83,83,3.7,79.8,2,0,1,0,1,Male,Yes,Yes,Placed,CS
2032,97.1,86.7,86.2,8.04,80,52,3.9,94.7,0,1,2,2,7,Male,Yes,No,Placed,IT
2033,80.9,66.4,74.5,7.67,76,58,3.4,79.6,0,0,1,1,0,Male,Yes,Yes,Placed,CS
2034,57.2,46.4,62.2,5.92,69,48,3.4,77.6,2,0,0,1,6,Female,Yes,No,NotPlaced,ChemE
2035,56.3,60.4,51.0,5.76,63,64,3.2,91.0,0,2,0,3,9,Female,No,Yes,NotPlaced,CE
2036,79.3,79.6,79.6,7.55,80,90,4.7,92.4,0,2,1,1,13,Male,No,Yes,Placed,EE
2037,61.1,55.4,52.3,5.97,53,71,3.3,67.6,1,1,0,3,15,Female,No,Yes,NotPlaced,ME
2038,76.1,78.1,64.3,7.57,67,93,3.8,82.6,0,1,2,3,9,Female,Yes,No,Placed,ECE
2039,55.2,65.0,54.9,6.8,54,80,3.4,80.6,2,2,1,2,12,Male,Yes,Yes,Placed,ECE
2040,69.8,50.9,67.4,6.61,66,48,3.2,74.4,1,0,1,2,6,Male,Yes,No,NotPlaced,ECE
2041,74.9,82.5,74.8,6.62,66,67,2.6,83.6,1,1,1,2,8,Female,Yes,Yes,NotPlaced,ECE
2042,95.0,78.4,85.8,9.13,100,87,3.8,79.4,0,2,3,3,7,Female,No,Yes,Placed,ECE
2043,57.0,49.4,55.7,5.35,47,49,2.8,68.0,2,0,0,0,0,Female,Yes,No,NotPlaced,CS
2044,67.7,75.3,69.1,7.0,58,58,3.6,71.7,1,1,2,1,11,Male,No,Yes,NotPlaced,ME
2045,54.8,63.1,59.1,6.83,64,70,2.8,91.9,0,0,2,3,6,Male,Yes,Yes,NotPlaced,CS
2046,68.2,65.0,69.2,7.83,55,59,3.7,81.8,0,0,0,2,0,Female,No,No,Placed,ECE
2047,67.6,64.2,65.1,6.64,50,49,4.6,82.4,5,2,0,1,17,Male,Yes,Yes,NotPlaced,ChemE
2048,81.2,67.9,83.8,7.81,80,68,4.3,90.1,0,2,0,3,9,Male,Yes,Yes,Placed,ECE
2049,70.5,67.6,73.2,8.31,53,61,4.6,81.8,2,0,1,2,1,Female,Yes,Yes,Placed,CS
2050,64.9,76.8,73.2,6.71,66,40,2.7,72.4,2,2,0,1,13,Female,Yes,Yes,Placed,CS
2051,79.7,68.3,67.5,7.62,66,58,3.9,77.3,2,0,0,1,0,Male,No,No,NotPlaced,EE
2052,78.5,71.9,73.1,7.75,86,75,3.3,90.3,1,0,2,7,1,Female,Yes,Yes,Placed,CS
2053,57.5,54.8,63.5,6.34,69,66,3.2,79.0,0,0,0,3,6,Female,No,Yes,Placed,ME
2054,82.0,73.1,74.4,7.47,92,50,2.8,77.7,0,0,1,2,6,Male,Yes,Yes,Placed,CS
2055,65.5,53.3,63.8,6.53,50,59,3.9,89.5,0,2,0,1,15,Female,No,No,NotPlaced,ME
2056,59.4,55.4,52.6,6.11,43,58,2.0,90.1,2,0,0,3,0,Male,No,No,NotPlaced,ME
2057,76.0,79.9,75.3,7.54,97,79,4.0,75.2,0,1,2,2,10,Male,Yes,No,Placed,CS
2058,68.4,59.2,55.5,7.38,63,58,3.7,78.8,0,2,2,2,11,Female,No,Yes,Placed,ECE
2059,77.1,64.4,67.6,7.59,63,80,3.2,80.9,1,0,7,2,1,Male,No,Yes,Placed,ECE
2060,69.2,59.7,56.8,7.36,52,60,4.0,73.6,1,4,2,0,19,Female,Yes,No,Placed,ME
2061,62.4,69.7,56.4,5.83,50,50,4.1,81.1,1,1,1,2,9,Female,Yes,No,NotPlaced,ME
2062,67.9,87.8,76.0,7.27,61,51,3.8,74.7,2,1,3,1,7,Male,Yes,Yes,NotPlaced,ChemE
2063,77.8,81.0,74.8,8.85,74,72,2.8,91.5,0,1,3,1,4,Female,No,Yes,Placed,EE
2064,65.6,70.2,58.9,6.54,52,79,3.3,77.4,0,2,2,2,11,Male,Yes,No,Placed,ChemE
2065,68.8,66.6,72.1,7.79,67,59,3.3,83.6,0,0,1,2,4,Male,Yes,Yes,Placed,CS
2066,50.5,50.5,53.6,5.95,58,65,4.0,80.0,0,1,0,0,4,Male,Yes,Yes,Placed,IT
2067,70.8,73.0,72.3,6.33,61,64,4.1,79.0,1,1,0,0,9,Male,Yes,No,Placed,ME
2068,75.6,47.1,58.3,6.99,64,72,3.8,90.3,0,0,2,2,3,Female,Yes,Yes,Placed,CS
2069,78.4,99.0,78.7,9.48,92,86,5.0,95.8,0,0,3,5,0,Female,Yes,No,Placed,CS
2070,60.2,55.7,59.8,6.39,58,55,3.4,81.5,0,2,1,0,6,Female,Yes,Yes,NotPlaced,ME
2071,76.5,64.0,80.2,7.34,84,72,3.0,82.6,0,2,3,1,12,Female,No,No,Placed,CS
2072,85.0,78.6,73.2,7.38,80,75,3.5,94.5,0,1,3,2,8,Male,Yes,Yes,Placed,ME
2073,79.1,74.8,64.4,6.4,54,67,3.8,84.9,0,2,4,2,11,Male,Yes,Yes,Placed,EE
2074,65.8,62.8,64.0,6.73,64,63,3.4,78.5,1,1,0,0,4,Female,No,No,Placed,EE
2075,85.1,70.7,71.2,7.5,69,74,2.8,75.1,1,1,0,0,3,Female,No,No,NotPlaced,CE
2076,83.6,82.5,76.0,8.02,66,65,4.2,85.8,0,2,0,3,8,Female,Yes,No,Placed,CS
2077,65.7,58.6,55.6,6.16,50,64,2.6,79.0,0,2,1,1,8,Female,Yes,No,NotPlaced,EE
2078,59.2,56.6,72.1,6.96,56,62,2.4,78.2,1,2,0,2,9,Female,No,Yes,NotPlaced,CS
2079,82.1,79.1,81.9,7.87,71,65,3.3,83.4,0,2,1,0,12,Female,No,Yes,Placed,CE
2080,81.7,74.8,68.5,8.13,59,39,4.2,85.7,0,0,0,1,3,Male,No,No,Placed,ME
2081,71.8,53.4,70.5,7.74,60,65,2.6,85.4,0,2,2,2,16,Female,Yes,Yes,Placed,CS
2082,47.4,70.9,60.0,6.59,60,66,3.4,83.0,0,0,2,1,0,Female,Yes,Yes,Placed,EE
2083,65.9,50.1,55.5,7.12,64,72,2.0,90.8,0,1,3,1,5,Female,Yes,No,Placed,IT
2084,87.9,89.9,84.4,9.27,100,100,4.6,94.6,0,2,3,0,12,Female,Yes,Yes,Placed,CS
2085,90.6,91.5,77.4,7.28,67,69,2.6,94.7,0,0,5,2,0,Male,Yes,No,Placed,CS
2086,76.4,77.1,73.7,7.14,71,63,3.2,77.8,0,2,1,3,11,Female,No,No,Placed,ChemE
2087,51.1,45.0,54.9,6.43,46,56,1.9,75.9,1,0,0,2,5,Male,No,Yes,NotPlaced,ME
2088,55.6,66.0,52.1,6.62,41,65,3.8,62.6,0,0,0,1,3,Male,No,Yes,NotPlaced,ChemE
2089,73.4,87.7,69.1,7.95,49,51,3.1,77.3,0,0,3,1,5,Male,No,No,Placed,CE
2090,72.9,45.0,52.6,5.0,59,86,4.9,87.1,4,0,3,2,6,Female,Yes,No,NotPlaced,ECE
2091,52.8,45.0,70.7,6.54,60,57,3.4,76.2,3,0,0,0,0,Female,No,Yes,NotPlaced,ME
2092,63.3,80.6,71.3,7.06,73,61,3.3,75.1,0,1,1,1,6,Male,Yes,Yes,NotPlaced,EE
2093,73.2,78.5,66.2,7.42,69,56,3.8,81.4,0,0,2,2,9,Male,No,Yes,Placed,ME
2094,86.7,73.2,63.3,7.1,71,86,3.6,81.7,0,0,4,0,5,Female,No,No,NotPlaced,ME
2095,62.0,45.0,50.6,5.65,44,49,3.3,91.5,0,1,1,0,12,Male,Yes,Yes,NotPlaced,CE
2096,66.6,56.4,57.6,5.72,58,50,4.2,72.4,0,1,0,0,9,Female,No,Yes,NotPlaced,CE
2097,66.6,75.4,68.8,7.28,73,58,2.7,86.7,0,1,2,0,5,Male,Yes,Yes,Placed,CE
2098,64.6,90.3,65.4,7.66,76,79,4.1,73.3,0,2,1,1,10,Male,No,No,Placed,CS
2099,66.0,64.8,67.9,7.16,53,55,3.4,65.7,2,0,0,1,3,Female,No,No,NotPlaced,EE
2100,64.7,64.3,69.6,5.97,65,57,2.5,84.2,0,0,1,1,0,Male,Yes,No,NotPlaced,ME
2101,67.3,47.6,70.0,6.86,70,73,3.3,75.8,0,0,0,1,1,Male,Yes,No,NotPlaced,ECE
2102,71.0,78.4,76.4,7.55,68,77,3.8,70.5,1,2,3,2,10,Female,No,No,NotPlaced,ChemE
2103,83.7,85.5,80.8,8.13,79,79,3.6,90.0,0,2,0,0,11,Male,No,Yes,NotPlaced,ME
2104,59.6,65.4,54.7,7.28,62,44,3.2,73.4,2,0,1,0,7,Female,Yes,Yes,NotPlaced,ME
2105,72.0,86.9,71.9,7.99,79,83,4.8,81.8,0,2,1,2,7,Male,Yes,Yes,Placed,CS
2106,64.6,65.4,79.4,6.99,77,67,3.5,89.6,0,0,0,4,6,Male,No,Yes,Placed,ECE
2107,72.2,66.8,65.8,7.26,77,64,3.7,82.1,0,0,4,0,3,Male,Yes,Yes,Placed,CS
2108,86.0,82.9,73.0,8.53,97,90,3.5,89.8,0,1,2,2,9,Female,Yes,Yes,Placed,EE
2109,73.4,71.6,65.1,5.97,56,55,4.2,91.8,2,1,1,0,7,Male,Yes,Yes,Placed,EE
2110,88.6,84.7,79.9,7.82,76,47,4.5,92.9,0,0,0,1,4,Female,No,Yes,Placed,ECE
2111,54.2,62.8,59.1,7.09,68,74,4.1,80.5,1,0,0,3,0,Male,No,Yes,NotPlaced,ME
2112,77.1,77.5,76.9,7.75,84,77,5.0,94.7,0,2,5,3,16,Female,Yes,No,Placed,EE
2113,58.8,61.7,52.3,6.64,65,82,4.3,73.2,0,2,0,2,12,Male,No,Yes,NotPlaced,ME
2114,51.4,57.2,56.7,6.73,65,59,3.5,71.6,1,3,5,1,19,Female,No,Yes,NotPlaced,ME
2115,73.3,86.5,65.0,8.95,64,58,3.2,86.4,0,1,0,0,6,Male,No,No,NotPlaced,ECE
2116,78.3,60.7,57.8,7.05,68,71,2.5,69.0,0,1,1,1,7,Male,Yes,Yes,Placed,ME
2117,72.3,78.8,81.5,7.95,87,82,3.9,81.7,0,1,1,2,12,Female,No,No,Placed,CE
2118,65.4,64.4,51.0,7.36,84,64,4.5,78.6,0,0,1,1,4,Male,No,No,Placed,ECE
2119,73.2,79.3,68.5,7.68,76,73,4.5,72.3,0,1,2,1,8,Female,Yes,No,NotPlaced,CE
2120,79.5,70.1,67.0,7.37,93,82,2.0,77.4,0,4,3,2,25,Female,Yes,No,Placed,CS
2121,67.1,83.5,69.1,6.9,65,73,3.6,87.2,0,2,2,4,12,Female,Yes,No,Placed,IT
2122,72.8,68.8,57.7,7.58,80,61,3.7,78.3,1,2,2,0,12,Male,No,Yes,NotPlaced,EE
2123,48.9,70.6,58.3,6.47,55,38,3.3,81.7,0,0,1,3,2,Male,Yes,Yes,NotPlaced,ChemE
2124,79.1,68.1,68.9,6.9,85,82,3.4,80.4,1,0,2,2,0,Female,No,Yes,NotPlaced,CS
2125,80.8,75.3,78.5,7.59,87,95,4.7,93.3,0,2,2,2,16,Female,No,Yes,Placed,ChemE
2126,77.9,69.0,68.2,8.04,64,67,3.6,73.9,1,0,0,0,0,Female,No,No,Placed,CS
2127,48.2,61.8,49.7,6.21,66,66,3.6,64.6,3,1,2,0,7,Male,No,Yes,NotPlaced,ME
2128,68.6,62.7,65.9,7.6,62,61,2.9,76.4,1,0,1,1,0,Male,No,No,NotPlaced,ME
2129,75.6,61.6,61.2,6.74,65,54,4.2,66.5,1,0,0,2,1,Female,No,No,NotPlaced,EE
2130,50.8,52.1,53.3,5.99,36,60,3.3,73.1,1,0,2,1,2,Female,No,No,NotPlaced,EE
2131,67.1,67.4,62.1,7.02,66,66,4.1,73.5,4,0,0,3,6,Male,Yes,Yes,NotPlaced,ChemE
2132,80.8,82.5,90.4,9.48,65,56,3.8,100.0,0,1,1,2,7,Female,Yes,No,Placed,EE
2133,66.7,65.9,62.9,7.7,64,66,4.6,84.1,0,0,2,2,2,Male,No,No,NotPlaced,EE
2134,82.1,61.0,67.5,7.87,60,68,4.0,77.4,1,0,0,1,5,Male,Yes,Yes,NotPlaced,CS
2135,63.3,75.9,68.0,7.33,70,86,4.7,92.1,0,0,3,4,0,Female,No,No,Placed,CE
2136,77.8,83.4,74.3,7.54,72,62,2.8,89.3,0,1,0,1,7,Male,Yes,Yes,Placed,ChemE
2137,85.2,89.9,85.1,8.52,73,66,3.9,100.0,0,0,3,2,4,Female,Yes,Yes,Placed,ECE
2138,78.8,71.1,66.5,7.4,82,78,3.1,77.1,0,1,7,2,9,Male,No,Yes,Placed,ECE
2139,67.8,61.5,63.3,6.87,67,78,4.3,83.7,1,0,0,1,0,Male,Yes,Yes,NotPlaced,EE
2140,75.4,63.3,66.8,7.31,70,73,2.9,78.6,0,0,0,1,3,Male,No,No,NotPlaced,EE
2141,79.0,79.2,71.8,8.2,75,92,3.8,86.2,0,2,4,1,9,Male,Yes,Yes,Placed,ME
2142,62.2,58.2,60.8,6.28,59,57,3.2,79.2,1,0,1,0,5,Female,No,No,NotPlaced,CS
2143,63.9,53.7,57.7,7.13,58,51,2.9,85.7,0,2,1,1,7,Female,No,No,Placed,ME
2144,59.9,45.0,48.0,5.67,50,48,1.2,68.2,1,0,2,1,8,Male,No,No,NotPlaced,ME
2145,60.4,48.6,48.0,5.19,58,41,4.6,76.1,0,1,1,3,6,Female,Yes,Yes,NotPlaced,CE
2146,48.2,50.8,48.0,6.2,60,45,2.9,66.5,2,1,1,0,8,Female,No,No,NotPlaced,CS
2147,71.8,70.5,65.9,7.3,75,86,3.5,70.3,2,1,2,2,7,Female,No,No,NotPlaced,ChemE
2148,80.9,72.0,73.6,7.79,66,44,2.8,71.1,0,0,1,1,0,Female,No,Yes,NotPlaced,EE
2149,82.5,67.7,67.2,6.97,77,73,3.9,89.9,2,0,2,1,0,Male,Yes,No,Placed,CS
2150,63.9,70.1,60.5,7.86,72,79,3.7,74.6,1,0,2,0,4,Male,Yes,No,NotPlaced,ME
2151,78.4,85.1,70.3,8.37,72,67,3.6,75.9,0,3,1,1,19,Male,Yes,No,Placed,ChemE
2152,78.1,78.0,70.0,8.01,81,65,4.1,82.2,0,0,1,3,0,Male,No,Yes,Placed,ECE
2153,69.7,53.6,58.4,7.14,69,48,4.7,81.9,1,1,2,2,7,Male,Yes,Yes,Placed,CS
2154,59.2,59.1,69.3,7.07,61,57,3.9,83.4,2,1,1,1,7,Male,Yes,No,NotPlaced,ME
2155,70.0,82.3,66.1,6.45,57,25,3.0,70.5,2,0,0,0,2,Female,No,Yes,NotPlaced,CE
2156,82.0,89.7,79.1,8.17,87,93,3.4,89.5,0,1,3,1,5,Female,Yes,Yes,Placed,CE
2157,55.0,66.8,65.7,5.62,62,72,3.0,72.5,4,2,3,0,11,Female,No,Yes,NotPlaced,CE
2158,80.3,73.0,65.9,7.14,60,76,3.4,88.5,0,2,2,3,12,Male,Yes,No,Placed,CS
2159,53.7,68.1,66.3,7.63,56,68,3.6,86.0,2,1,2,2,12,Female,Yes,Yes,Placed,CS
2160,76.9,69.1,71.7,6.87,70,80,4.0,76.0,1,0,1,0,0,Male,No,No,NotPlaced,ME
2161,60.5,83.8,71.7,8.86,84,84,3.4,72.8,0,1,3,1,9,Female,No,No,Placed,CE
2162,73.4,80.7,71.4,8.49,61,61,4.3,84.3,0,1,2,3,11,Female,Yes,Yes,Placed,ECE
2163,71.0,71.7,60.0,6.92,46,56,3.3,93.3,0,0,1,0,0,Male,No,Yes,NotPlaced,ChemE
2164,76.6,64.5,71.2,7.55,62,48,2.9,81.3,0,2,2,1,12,Male,Yes,No,Placed,ChemE
2165,61.2,56.4,63.2,6.22,51,47,3.3,78.1,0,1,0,0,5,Male,Yes,No,NotPlaced,CE
2166,66.4,60.6,57.6,6.8,73,69,3.6,79.7,2,2,1,1,9,Female,Yes,No,Placed,IT
2167,80.3,82.4,68.5,7.91,78,37,3.6,84.7,1,0,0,0,2,Male,No,No,NotPlaced,ME
2168,74.8,67.8,62.4,6.63,53,57,4.2,82.5,0,1,2,1,6,Male,Yes,Yes,NotPlaced,CS
2169,93.6,85.6,76.6,8.79,89,86,3.4,87.9,0,1,6,0,7,Female,No,Yes,Placed,ME
2170,45.0,48.3,48.0,5.0,60,45,1.7,68.8,2,0,0,0,1,Male,No,Yes,NotPlaced,ECE
2171,70.9,59.1,71.0,6.98,61,80,4.5,85.1,0,2,4,2,10,Male,Yes,Yes,Placed,CS
2172,73.7,96.3,94.1,9.55,82,76,3.2,82.5,0,3,6,2,20,Male,No,No,Placed,EE
2173,58.1,61.4,62.0,7.3,75,73,2.1,77.9,0,1,0,2,6,Male,No,Yes,NotPlaced,ECE
2174,64.7,64.0,63.6,7.65,66,58,4.8,84.0,1,0,1,2,5,Male,Yes,No,NotPlaced,ME
2175,87.0,72.7,79.8,8.1,79,71,4.5,73.5,0,0,1,2,1,Female,Yes,Yes,Placed,EE
2176,56.3,57.4,55.6,6.56,55,56,2.4,81.7,0,2,0,1,7,Male,No,Yes,Placed,ME
2177,64.1,63.2,54.6,7.72,66,56,3.4,81.4,1,0,0,1,0,Female,Yes,No,NotPlaced,ChemE
2178,69.5,53.7,59.2,6.91,65,72,1.9,67.3,0,0,1,0,6,Male,Yes,No,NotPlaced,ME
2179,75.8,65.2,76.1,8.36,83,72,2.9,97.0,0,0,0,2,4,Male,No,Yes,Placed,EE
2180,51.7,62.2,66.8,7.1,59,71,4.6,79.6,0,0,1,3,1,Female,Yes,Yes,NotPlaced,IT
2181,53.4,62.2,60.6,5.1,72,93,3.2,75.5,0,0,2,2,4,Male,No,Yes,NotPlaced,ME
2182,78.1,83.3,70.5,7.54,92,91,4.2,79.4,0,0,2,1,2,Female,Yes,Yes,Placed,ECE
2183,77.2,79.9,66.5,7.34,75,48,4.2,81.1,2,1,1,2,4,Male,Yes,No,Placed,ME
2184,71.9,70.0,74.7,7.4,74,61,3.3,86.9,0,0,0,1,6,Female,Yes,Yes,Placed,EE
2185,80.9,73.2,72.2,8.03,97,92,3.2,90.5,0,0,7,2,5,Female,No,No,Placed,CS
2186,81.5,72.0,73.3,7.79,73,72,2.6,71.9,0,0,1,2,1,Female,Yes,No,NotPlaced,ECE
2187,73.0,68.5,60.1,6.06,60,33,4.8,74.1,0,1,0,2,11,Male,No,Yes,NotPlaced,EE
2188,72.2,81.7,67.7,7.77,72,36,2.6,75.0,2,0,0,1,4,Female,No,No,NotPlaced,ME
2189,78.9,82.9,82.6,9.13,80,71,3.8,84.2,0,0,1,0,4,Female,Yes,No,Placed,ME
2190,62.5,67.4,74.0,7.38,84,79,4.0,79.6,1,3,2,2,21,Male,Yes,Yes,Placed,ECE
2191,74.3,81.9,72.0,8.73,72,78,4.3,80.7,0,1,1,3,4,Female,No,No,Placed,CS
2192,74.7,79.4,77.8,8.24,75,81,4.0,91.9,0,2,1,1,12,Male,Yes,Yes,Placed,ECE
2193,67.8,59.9,68.7,6.77,55,69,2.8,83.1,1,0,1,0,5,Female,No,Yes,Placed,ME
2194,83.4,66.2,64.9,6.67,42,35,2.2,59.5,1,1,0,0,8,Female,No,No,NotPlaced,CS
2195,77.8,68.2,72.5,6.89,63,69,3.8,88.8,0,0,0,0,1,Female,No,No,NotPlaced,CS
2196,70.0,74.3,72.1,7.15,70,74,3.6,63.0,2,1,0,0,7,Male,Yes,No,NotPlaced,ME
2197,75.6,77.9,67.3,7.77,64,66,5.0,88.3,1,1,1,4,10,Male,Yes,Yes,Placed,CS
2198,53.9,54.7,60.4,5.9,44,54,1.9,82.2,1,0,1,2,0,Female,Yes,No,NotPlaced,CE
2199,87.1,91.3,82.6,7.51,58,80,3.7,95.9,0,0,3,0,1,Male,No,Yes,Placed,CS
2200,88.2,78.9,70.7,8.58,78,87,3.2,82.8,0,2,2,1,15,Male,Yes,Yes,Placed,CS
2201,77.9,70.3,71.9,7.76,71,81,3.3,85.6,0,2,0,1,12,Male,No,No,NotPlaced,EE
2202,95.8,84.6,73.2,8.46,100,90,3.7,80.1,0,1,4,2,7,Male,No,No,Placed,CS
2203,82.2,64.8,72.4,7.89,73,84,3.9,99.2,1,1,3,1,5,Female,Yes,No,Placed,EE
2204,74.9,77.8,76.7,7.45,88,76,5.0,74.7,2,1,3,3,9,Male,Yes,Yes,Placed,CS
2205,69.4,70.3,54.0,7.41,56,59,3.2,67.7,2,0,1,0,1,Male,Yes,Yes,NotPlaced,ME
2206,74.1,72.5,65.9,7.93,85,89,3.4,88.6,0,1,2,1,6,Female,No,Yes,Placed,CS
2207,76.4,71.7,63.5,7.12,72,64,3.3,84.9,0,2,0,1,17,Female,No,No,Placed,ME
2208,55.8,46.2,48.0,5.56,48,66,2.1,69.6,3,1,2,0,5,Female,Yes,No,NotPlaced,ME
2209,59.3,67.0,57.8,5.96,65,63,3.1,58.6,2,3,2,1,18,Male,No,Yes,NotPlaced,CS
2210,70.7,68.4,77.1,6.78,66,59,2.9,87.2,0,1,1,0,9,Female,No,No,NotPlaced,ECE
2211,46.1,53.8,48.0,5.25,43,58,2.6,75.7,1,1,1,0,6,Female,No,Yes,NotPlaced,ChemE
2212,77.6,80.5,91.0,8.7,71,87,3.6,75.8,0,2,4,1,21,Male,No,Yes,Placed,ME
2213,62.6,70.8,73.6,7.65,94,75,4.3,89.8,0,2,4,4,8,Male,Yes,Yes,Placed,CS
2214,64.5,61.1,60.2,5.5,59,52,4.3,60.8,1,1,0,0,4,Male,No,No,NotPlaced,IT
2215,62.4,62.9,61.3,5.85,52,62,3.2,60.4,1,1,1,0,10,Male,No,Yes,NotPlaced,CE
2216,82.7,83.7,73.4,8.62,87,76,3.8,77.3,1,0,2,0,0,Male,Yes,No,Placed,ECE
2217,94.4,85.7,82.1,9.05,84,74,5.0,100.0,0,2,0,2,12,Female,Yes,Yes,Placed,CE
2218,60.5,55.7,57.7,6.73,72,53,4.3,87.4,0,0,1,2,4,Male,Yes,Yes,NotPlaced,EE
2219,50.6,47.6,54.7,6.03,51,62,3.4,75.6,0,0,2,1,0,Female,Yes,No,Placed,CE
2220,62.4,68.9,65.1,7.69,64,39,2.8,68.7,2,0,1,0,2,Female,No,No,NotPlaced,ECE
2221,74.6,64.7,62.1,6.64,58,67,2.8,90.2,1,0,2,1,1,Male,Yes,No,NotPlaced,CE
2222,79.6,59.5,68.3,7.44,84,98,3.5,84.2,0,1,3,3,6,Female,No,No,NotPlaced,IT
2223,95.3,89.6,90.0,8.72,81,57,3.9,85.4,0,1,1,6,8,Female,Yes,No,Placed,ChemE
2224,72.7,60.6,53.7,5.36,70,74,3.9,75.8,0,1,0,3,11,Male,No,Yes,NotPlaced,CE
2225,75.3,72.3,69.4,8.19,84,89,3.9,87.4,0,1,2,2,6,Male,No,Yes,Placed,ME
2226,83.2,80.5,88.1,8.57,100,63,2.8,85.6,0,2,3,2,16,Male,Yes,Yes,Placed,ECE
2227,71.2,78.0,81.1,9.21,82,77,4.3,82.7,2,3,2,3,18,Female,Yes,No,Placed,ME
2228,59.0,54.0,70.4,6.15,49,44,3.3,65.3,1,0,1,0,4,Male,No,No,NotPlaced,CS
2229,58.3,55.0,58.0,6.37,52,70,4.1,81.5,2,0,3,0,0,Female,No,Yes,NotPlaced,IT
2230,60.7,72.7,73.8,6.94,69,76,3.5,76.1,1,1,7,2,10,Female,Yes,Yes,Placed,ECE
2231,67.8,81.4,76.9,7.51,69,94,4.7,91.0,0,1,2,4,5,Male,No,Yes,Placed,IT
2232,61.0,62.5,59.8,6.48,73,63,3.3,77.3,3,0,1,0,0,Female,No,No,NotPlaced,IT
2233,75.3,76.4,69.0,7.45,60,68,3.8,78.7,0,0,2,1,0,Female,Yes,No,Placed,EE
2234,57.8,61.1,62.6,6.83,60,56,4.5,91.7,0,0,2,1,0,Female,No,Yes,Placed,IT
2235,58.7,47.2,51.6,6.2,48,69,3.6,73.3,2,1,1,0,9,Male,No,Yes,Placed,CE
2236,64.3,60.6,48.0,5.5,45,58,3.9,80.0,0,2,1,1,12,Male,Yes,No,NotPlaced,ChemE
2237,50.8,58.8,59.1,6.94,48,78,1.9,65.5,0,3,8,0,25,Female,No,No,Placed,ECE
2238,75.7,53.0,53.5,6.71,72,88,3.8,86.7,0,1,2,2,7,Male,No,No,Placed,ECE
2239,62.9,58.8,52.0,5.99,55,63,3.7,65.3,5,0,3,0,1,Male,No,No,NotPlaced,EE
2240,63.6,45.0,48.0,5.83,67,74,2.2,72.8,2,0,0,0,2,Female,Yes,Yes,NotPlaced,ME
2241,76.6,66.5,72.4,7.59,74,73,3.7,77.5,2,2,1,0,9,Male,Yes,Yes,Placed,EE
2242,81.7,82.0,82.9,8.84,96,86,3.7,88.0,0,0,2,3,0,Female,Yes,Yes,Placed,IT
2243,74.1,76.4,79.6,7.38,59,49,3.5,76.6,2,0,1,1,5,Male,No,No,NotPlaced,CE
2244,59.8,76.0,69.3,6.99,65,46,3.1,97.0,0,0,0,0,3,Male,Yes,Yes,NotPlaced,EE
